year,mouth,day,peak_AM,peak_PM,Insolation,Temperature,Cloud_cover,Insolation_2,Exp_Insolation,Seek_number1,Seek_number2,EGC,Cell_number,Insolation_difference,Temperature_difference,WhitePixels,BlackPixels
5,1,1,0,0,0,1.6,2,0,0,0,0,0,4361,0,0.7,61523,44877
5,1,1,0,0,0,2.3,2,0,0,0,0,0,4438,0,0.3,61265,45135
5,1,1,0,0,0,2.6,2,0,0,0,0,0,4438,0,-1.1,59471,46929
5,1,1,0,0,0,1.5,2,0,0,0,0,0,4438,0,-0.6,58742,47658
5,1,1,0,0,0,0.9,2,0,0,0,0,0,4438,0,1.1,57990,48410
5,1,1,0,0,0,2,10,0,0,0,0,0,4438,0.003,-1.2,56647,49753
5,1,1,0,0,0.003,0.8,10,0,0,191.7,0,0,4438,0.276,0.8,54625,51775
5,1,1,0,0,0.279,1.6,10,3.68,5847.6,313.3,5.06,1.5234,4438,0.305,1,53195,53205
5,1,1,0,0,0.584,2.6,0,17.68,28606.9,306.2,23,7.0425,4438,0.183,2.8,51395,55005
5,1,1,0,0,0.767,5.4,0,35,57085,301.5,45.94,13.8473,4437,0.094,1.2,48040,58360
5,1,1,0,0,0.861,6.6,0,41.29,67525.7,300.7,54.55,16.406,4438,0.016,0.9,46233,60167
5,1,1,1,0,0.877,7.5,4,41.95,68974.2,292,57.54,16.7972,4438,-0.07,0.9,44849,61551
5,1,1,0,1,0.807,8.4,4,39.48,65033,290.1,54.61,15.84,4438,-0.139,0.1,43184,63216
5,1,1,0,0,0.668,8.5,4,33.85,55747,298,45.61,13.5744,4438,-0.298,-1,41433,64967
5,1,1,0,0,0.37,7.5,2,19.67,32089.9,305.7,25.84,7.9004,4437,-0.25,-1.1,40715,65685
5,1,1,0,0,0.12,6.4,2,4.99,7928.3,304.7,6.56,2.0492,4438,-0.12,-1.2,39287,67113
5,1,1,0,0,0,5.2,2,0,0,112,0,0,4438,0,-1.1,38159,68241
5,1,1,0,0,0,4.1,9,0,0,0,0,0,4438,0,-0.9,38360,68040
5,1,1,0,0,0,3.2,9,0,0,0,0,0,4438,0,-0.7,38069,68331
5,1,1,0,0,0,2.5,9,0,0,0,0,0,4438,0,-0.2,39194,67206
5,1,1,0,0,0,2.3,1,0,0,0,0,0,4438,0,-0.5,38763,67637
5,1,1,0,0,0,1.8,1,0,0,0,0,0,4438,0,-0.3,38765,67635
5,1,1,0,0,0,1.5,1,0,0,0,0,0,4439,0,-0.6,39946,66454
5,1,1,0,0,0,0.9,1,0,0,0,0,0,4438,0,-1,39742,66658
5,1,2,0,0,0,-0.1,1,0,0,0,0,0,4362,0,-0.6,38738,67662
5,1,2,0,0,0,-0.7,1,0,0,0,0,0,4438,0,-0.1,37338,69062
5,1,2,0,0,0,-0.8,0,0,0,0,0,0,4438,0,-0.6,36534,69866
